0.05,0,0,0
0.05,0.08,-0.06,0.09
0.1,0.08,-0.06,0.09
0.15000000000000002,0.08,-0.06,0.09
0.2,0,0,0
0.25,0.08,-0.06,0.09
0.3,0.08,-0.06,0.09
0.35,0.08,-0.06,0.09
0.39999999999999997,0.08,-0.06,0.09
0.44999999999999996,0.08,-0.06,0.09
0.49999999999999994,0.08,-0.06,0.09
0.5499999999999999,0.08,-0.06,0.09
0.6,0,0,0
0.65,0.08,-0.06,0.09
0.7000000000000001,0.08,-0.06,0.09
0.7500000000000001,0.08,-0.06,0.09
0.8000000000000002,0.08,-0.06,0.09
0.8500000000000002,0.08,-0.06,0.09
0.9000000000000002,0.08,-0.06,0.09
0.9500000000000003,0.08,-0.06,0.09
1.0000000000000002,0.07,0.26,-0.27
1.0500000000000003,0.18,0.33,-0.48
1.1000000000000003,0.2,0.29,-0.68
1.1500000000000004,0.28,0.29,-0.82
1.2000000000000004,0.3,0.18,-0.97
1.2500000000000004,0.14,0.01,-0.84
1.3000000000000005,0.2,-0.1,-1.17
1.3500000000000005,0.11,-0.24,-0.98
1.4000000000000006,0.1,-0.32,-1.11
1.4500000000000006,0.13,-0.36,-1.06
1.5000000000000007,0.1,-0.42,-0.93
1.5500000000000007,0.11,-0.54,-0.96
1.6000000000000008,0.14,-0.58,-1.04
1.6500000000000008,0.14,-0.56,-1.08
1.7000000000000008,0.12,-0.56,-1.06
1.7500000000000009,0.09,-0.51,-0.95
1.800000000000001,0.08,-0.51,-0.89
1.850000000000001,0.07,-0.52,-0.86
1.900000000000001,0.07,-0.53,-0.92
1.950000000000001,0.05,-0.52,-0.95
2.000000000000001,0.01,-0.53,-1.03
2.0500000000000007,0.02,-0.5,-1.07
2.1000000000000005,0.03,-0.44,-1.05
2.1500000000000004,0.02,-0.39,-1.04
2.2,0.03,-0.31,-1.02
2.25,0.04,-0.27,-1.06
2.3,0.06,-0.18,-1.05
2.3499999999999996,0.07,-0.09,-1.08
2.3999999999999995,0.06,0.0,-1.08
2.4499999999999993,0.04,0.1,-1.16
2.499999999999999,0.05,0.24,-1.15
2.549999999999999,0.04,0.31,-1.08
2.5999999999999988,-0.04,0.41,-0.87
2.6499999999999986,-0.04,0.4,-0.72
2.6999999999999984,-0.07,0.45,-0.58
2.7499999999999982,-0.11,0.47,-0.29
2.799999999999998,-0.21,0.44,0.05
2.849999999999998,-0.26,0.43,0.22
2.8999999999999977,-0.29,0.46,0.29
2.9499999999999975,-0.26,0.52,0.31
2.9999999999999973,-0.22,0.53,0.17
3.049999999999997,-0.28,0.56,0.06
3.099999999999997,-0.23,0.51,-0.01
3.149999999999997,-0.26,0.47,-0.13
3.1999999999999966,-0.28,0.4,-0.3
3.2499999999999964,-0.12,0.43,-0.65
3.2999999999999963,-0.07,0.38,-0.8
3.349999999999996,0.04,0.35,-0.91
3.399999999999996,0.17,0.29,-1.0
3.4499999999999957,0.17,0.18,-1.05
3.4999999999999956,0.16,0.08,-1.06
3.5499999999999954,0.15,-0.01,-1.14
3.599999999999995,0.07,-0.12,-1.19
3.649999999999995,0.03,-0.2,-1.15
3.699999999999995,-0.03,-0.31,-1.0
3.7499999999999947,-0.05,-0.39,-0.96
3.7999999999999945,-0.07,-0.45,-1.01
3.8499999999999943,-0.11,-0.49,-1.07
3.899999999999994,-0.12,-0.49,-1.07
3.949999999999994,-0.12,-0.46,-1.06
3.999999999999994,-0.18,-0.48,-1.06
4.049999999999994,-0.18,-0.44,-1.12
4.099999999999993,-0.22,-0.44,-1.19
4.149999999999993,-0.22,-0.37,-1.18
4.199999999999993,-0.17,-0.27,-1.17
4.249999999999993,-0.16,-0.2,-1.19
4.299999999999993,-0.16,-0.09,-1.07
4.3499999999999925,-0.15,0.01,-1.07
4.399999999999992,-0.11,0.12,-1.04
4.449999999999992,-0.15,0.22,-0.97
4.499999999999992,-0.17,0.32,-0.8
4.549999999999992,-0.24,0.37,-0.67
4.599999999999992,-0.22,0.35,-0.53
4.6499999999999915,-0.25,0.33,-0.18
4.699999999999991,-0.33,0.32,0.04
4.749999999999991,-0.36,0.42,0.16
4.799999999999991,-0.4,0.47,0.15
4.849999999999991,-0.31,0.54,0.23
4.899999999999991,-0.29,0.53,0.16
4.94999999999999,-0.3,0.52,0.06
4.99999999999999,-0.31,0.47,-0.06
5.04999999999999,-0.34,0.52,-0.22
5.09999999999999,-0.38,0.45,-0.39
5.14999999999999,-0.41,0.39,-0.51
5.1999999999999895,-0.33,0.41,-0.67
5.249999999999989,-0.2,0.36,-0.79
5.299999999999989,-0.37,0.21,-0.79
5.349999999999989,-0.11,0.23,-0.99
5.399999999999989,-0.38,0.04,-1.02
5.449999999999989,-0.26,0.02,-0.99
5.4999999999999885,-0.36,-0.13,-1.02
5.549999999999988,-0.23,-0.11,-1.02
5.599999999999988,-0.17,-0.22,-0.9
5.649999999999988,-0.12,-0.33,-0.88
5.699999999999988,-0.09,-0.42,-0.92
5.749999999999988,-0.07,-0.47,-0.98
5.799999999999987,-0.07,-0.54,-1.06
5.849999999999987,-0.07,-0.57,-1.01
5.899999999999987,-0.06,-0.56,-0.91
5.949999999999987,-0.09,-0.58,-0.91
5.999999999999987,-0.1,-0.6,-0.94
6.0499999999999865,-0.14,-0.63,-0.95
6.099999999999986,-0.12,-0.62,-0.97
6.149999999999986,-0.15,-0.62,-1.01
6.199999999999986,-0.19,-0.61,-1.03
6.249999999999986,-0.19,-0.59,-1.09
6.299999999999986,-0.18,-0.49,-1.09
6.349999999999985,-0.18,-0.41,-1.11
